;No response;Rejected;Talking;Hired;
;Company A;Company B;Company C;Company D;
;;;;;
Ranges:;Milan = 46-50K €;Dublin = 50-60K €;Munich=50-55K €;Hamburgo=50-55K €;
Geneva = 75-95K CHF;Zurich = 80-100K CHF;London = £45-55K;Luxembourg = 55-65K €;Berlin =50-60K €;
;;;;;
Date;Company;Position;Place;Salary;Url
21/06/2025;SatoshiLabs;Senior React Developer;Prague, Czech Republic;42500-52500 €;https://satoshilabs.com/careers?ashby_jid=c3839f20-5f1d-4bc1-bd2f-6f363c23a88e
14/07/2025;Manus AI;Frontend;Singapore, Singapore;≈ 50000€;https://www.linkedin.com/jobs/search/?currentJobId=4263261656&distance=25&geoId=102454443&keywords=frontend&origin=JOBS_HOME_SEARCH_CARDS
15/07/2025;NextLink (AI);Frontend;Zurich, Switzerland;x;https://next-link.zohorecruit.eu/jobs/Careers/40099000030037499/Front-End-Developer-React-Gen-AI?source=Talent.com-&embedsource=Talent.com&showSignInPopup=true
16/07/2025;easyrep. AG;Frontend (40-60% part-time);Zurich, Switzerland;50000 CHF (is part time, if not -> 85000-95000 CHF);https://ch.talent.com/en/jobs?k=TypeScript+%2F+React+Developer+%2840-60%25%29&l=Aarau%2C+Aargau%2C+Switzerland&id=b00fc270a539
21/07/2025;ACRE;Frontend;London, UK;50-60k pounds;https://acresoftware-1629290987543.freshteam.com/jobs/H-I9Ttrk1XhH/graduate-frontend-engineer?ft_source=25000035013&ft_medium=25000026855
21/07/2025;IWOCA;Frontend;London, UK;50-60k pounds;https://jobs.ashbyhq.com/iwoca.co.uk/64707a99-7063-4334-958b-cfdb2f7c936c
21/07/2025;Capua;Frontend;London, UK;50-60k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4267158341&geoId=90009496&keywords=sponsorship&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
15/08/2025;Signify;Frontend;London, UK;55k pounds;https://www.signifytechnology.com/jobs/Front-End-Developer-17871/
15/08/2025;OWEN TOMAS | PENDING B CORP;Frontend;London, UK;50-80k pounds;Junior & Mid Level Full Stack Engineers | Green Tech / Energy Tech Start-Up | React.js Node.js TypeScript | LDN 2 Days Per Week | £50K - £80K + Healthy Equity
15/08/2025;Bending spoons;Software engineer;London, UK;66-110k pounds;https://jobs.bendingspoons.com/positions/668e71387a24106d65888827/apply
15/08/2025;Metaview;Frontend y AWS;London, UK;X;https://app.welcometothejungle.com/jobs/eVeB33XT?theme=take-another-look
26/08/2025;Trainline;Full stack (Software engineer, spec: React and AWS);London, UK;56k pounds;https://jobs.ashbyhq.com/trainline/2b8bc163-24ca-400d-b232-d437f56dd1f3?trid=V8qBg289bn
